Public_ID	Family_ID	Zygosity	Sex	Duplicate	OtherTwin	NRD	nSNPs	Depth	Singletons	TsTv	Discord	Het	HomAlt	NumRelationsIBD0125	PiHat0125	PCAfail	SexCheck	ALSPAC_Pop_Strat_QC	ALSPAC_Relatedness_QC	ALSPAC_Other_QC	PhenoNum	SeqQCPass	PopQCPass	RelQCPass	CotwinQCPass	DuplicateQCPass	Pass
UK10K_ALS5086230	NA	NA	male	NA	NA	0.321	3380885	5.909	3848	2.09	0.3	21.99	13.31	1	UK10K_ALS5085695	NA	NA	NA	Failed_QC	NA	19	yes	yes	no	yes	yes	no
UK10K_ALS5086289	NA	NA	male	NA	NA	0.394	3389633	5.955	4281	2.092	0.3	24.21	12.25	1	UK10K_ALS5085816	NA	NA	NA	NA	NA	26	yes	yes	no	yes	yes	no
UK10K_ALS5086302	NA	NA	male	NA	NA	0.358	3373591	5.909	4192	2.09	0.2	23.75	12.54	1	UK10K_ALS5087133	NA	NA	NA	Failed_QC	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5086340	NA	NA	male	NA	NA	0.709	3490368	5.364	23341	2.092	0.4	23.83	13.1	1	UK10K_ALS5227446	yes	NA	Failed_QC	NA	NA	20	yes	no	yes	yes	yes	no
UK10K_ALS5086360	NA	NA	male	NA	NA	0.264	3387367	6.273	4144	2.092	0.3	23.75	12.22	1	UK10K_ALS5086650	NA	NA	NA	NA	NA	15	yes	yes	no	yes	yes	no
UK10K_ALS5086377	NA	NA	male	NA	NA	0.211	3415122	8.045	5730	2.092	0.1	24.24	12.53	1	UK10K_ALS5086532	NA	NA	NA	NA	NA	10	yes	yes	no	yes	yes	no
UK10K_ALS5086410	NA	NA	female	NA	NA	0.362	3390882	5	3394	2.088	0.3	23.15	12.82	1	UK10K_ALS5085953	NA	NA	NA	NA	NA	29	yes	yes	no	yes	yes	no
UK10K_ALS5086411	NA	NA	female	NA	NA	0.29	3407064	6	5918	2.092	0.1	23.39	12.54	1	UK10K_ALS5086998	NA	NA	NA	Failed_QC	NA	27	yes	yes	no	yes	yes	no
UK10K_ALS5086442	NA	NA	female	NA	NA	0.286	3373466	5.955	2930	2.091	0.1	23.15	12.63	1	QTL212640	NA	NA	NA	NA	NA	32	yes	yes	no	yes	yes	no
UK10K_ALS5086475	NA	NA	female	NA	NA	0.255	3380693	8.091	6335	2.088	0.1	23.37	13	1	UK10K_ALS5087098	NA	NA	NA	Failed_QC	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5086486	NA	NA	female	NA	NA	0.245	3408936	6.318	4906	2.09	0.2	23.74	12.82	1	UK10K_ALS5086542	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
UK10K_ALS5086532	NA	NA	female	NA	NA	0.395	3377519	5	3904	2.091	0.2	24.38	11.99	1	UK10K_ALS5086377	NA	NA	NA	Failed_QC	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5086542	NA	NA	female	NA	NA	0.407	3382593	5	3511	2.092	0.3	23.09	12.73	1	UK10K_ALS5086486	NA	NA	NA	Failed_QC	NA	27	yes	yes	no	yes	yes	no
UK10K_ALS5086545	NA	NA	female	NA	NA	0.82	3449928	3.909	11128	2.091	0.4	23.88	12.88	1	UK10K_ALS5227361	yes	NA	Failed_QC	NA	NA	21	yes	no	yes	yes	yes	no
UK10K_ALS5086556	NA	NA	female	NA	NA	0.315	3404041	6.591	5606	2.093	0.2	24.39	12.44	1	UK10K_ALS5227440	NA	NA	NA	Failed_QC	NA	27	yes	yes	no	yes	yes	no
UK10K_ALS5086564	NA	NA	female	NA	NA	0.297	3418306	6.818	5669	2.089	0.1	23.69	12.48	1	UK10K_ALS5086121	NA	NA	NA	Failed_QC	NA	23	yes	yes	no	yes	yes	no
UK10K_ALS5086599	NA	NA	male	NA	NA	0.241	3385064	7.818	3608	2.091	0.1	23.71	12.22	1	UK10K_ALS5085792	NA	NA	NA	Failed_QC	NA	19	yes	yes	no	yes	yes	no
UK10K_ALS5086650	NA	NA	male	NA	NA	0.194	3418225	8.545	6075	2.09	0.1	23.22	12.25	1	UK10K_ALS5086360	NA	NA	NA	Failed_QC	NA	28	yes	yes	yes	yes	yes	yes
UK10K_ALS5086651	NA	NA	male	NA	NA	0.256	3407855	6.909	4875	2.092	0.2	24.56	12.4	1	UK10K_ALS5087029	NA	NA	NA	Failed_QC	NA	26	yes	yes	no	yes	yes	no
UK10K_ALS5086709	NA	NA	female	NA	NA	0.278	3393012	6.091	4033	2.088	0.1	24.52	12.91	1	UK10K_ALS5227355	NA	NA	NA	NA	NA	16	yes	yes	no	yes	yes	no
UK10K_ALS5086909	NA	NA	female	NA	NA	0.326	3402950	6	4346	2.092	0.2	23.53	12.85	1	UK10K_ALS5087232	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
UK10K_ALS5086917	NA	NA	female	NA	NA	0.71	3392193	7	4691	2.092	0.6	22.67	12.45	1	UK10K_ALS5085690	NA	NA	NA	Failed_QC	NA	28	yes	yes	no	yes	yes	no
UK10K_ALS5086920	NA	NA	female	NA	NA	0.326	3383903	5.455	4109	2.091	0.2	21.96	12.82	1	UK10K_ALS5086994	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
UK10K_ALS5086979	NA	NA	female	NA	NA	0.315	3403210	6.045	4718	2.09	0.2	22.99	12.5	1	UK10K_ALS5227363	NA	NA	NA	NA	NA	24	yes	yes	no	yes	yes	no
UK10K_ALS5086994	NA	NA	female	NA	NA	0.304	3371037	6.045	4418	2.092	0.1	22.8	13.67	1	UK10K_ALS5086920	NA	NA	NA	Failed_QC	NA	27	yes	yes	no	yes	yes	no
UK10K_ALS5086998	NA	NA	female	NA	NA	0.363	3398216	6.909	6539	2.091	0.1	23.38	12.14	1	UK10K_ALS5086411	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
UK10K_ALS5087029	NA	NA	female	NA	NA	0.2	3407978	8.955	5827	2.093	0.1	24.03	12.02	1	UK10K_ALS5086651	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
UK10K_ALS5087045	NA	NA	female	NA	NA	0.362	3386844	5	3670	2.095	0.2	23.96	12.03	1	UK10K_ALS5087182	NA	NA	NA	NA	NA	26	yes	yes	yes	yes	yes	yes
UK10K_ALS5087098	NA	NA	female	NA	NA	0.363	3393374	6.045	4584	2.091	0.1	23.8	11.98	1	UK10K_ALS5086475	NA	NA	NA	NA	NA	19	yes	yes	no	yes	yes	no
UK10K_ALS5087133	NA	NA	female	NA	NA	0.383	3375884	5	4339	2.093	0.3	22.73	12.71	1	UK10K_ALS5086302	NA	NA	NA	NA	NA	29	yes	yes	no	yes	yes	no
UK10K_ALS5087182	NA	NA	male	NA	NA	0.311	3387352	6.909	5808	2.089	0.3	23.52	12.55	1	UK10K_ALS5087045	NA	NA	NA	Failed_QC	NA	14	yes	yes	no	yes	yes	no
UK10K_ALS5087184	NA	NA	male	NA	NA	0.344	3395170	6.864	5943	2.092	0.3	25.46	12.04	1	UK10K_ALS5086113	NA	NA	NA	Failed_QC	NA	18	yes	yes	no	yes	yes	no
UK10K_ALS5087188	NA	NA	male	NA	NA	0.329	3397333	6.045	5344	2.092	0.2	23.67	12.27	1	UK10K_ALS5227417	NA	NA	NA	Failed_QC	NA	23	yes	yes	no	yes	yes	no
UK10K_ALS5087194	NA	NA	male	NA	NA	0.332	3381854	6.045	5154	2.09	0.3	21.85	13.48	1	UK10K_ALS5086092	NA	NA	NA	Failed_QC	NA	29	yes	yes	no	yes	yes	no
UK10K_ALS5087232	NA	NA	male	NA	NA	0.422	3388948	5	4399	2.091	0.3	23.85	12.62	1	UK10K_ALS5086909	NA	NA	NA	Failed_QC	NA	29	yes	yes	no	yes	yes	no
UK10K_ALS5087273	NA	NA	male	NA	NA	0.311	3379369	5.909	4391	2.092	0.1	22.9	12.57	1	UK10K_ALS5227398	NA	NA	NA	Failed_QC	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5087277	NA	NA	male	NA	NA	0.29	3388402	6.909	4663	2.093	0.1	22.91	12.52	1	UK10K_ALS5085576	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5087291	NA	NA	male	NA	NA	0.34	3388069	5.864	4167	2.093	0.2	23.47	12.36	1	UK10K_ALS5085497	NA	NA	NA	Failed_QC	NA	27	yes	yes	no	yes	yes	no
UK10K_ALS5087297	NA	NA	male	NA	NA	0.267	3392359	7	5191	2.09	0.1	21.93	12.95	1	UK10K_ALS5086148	NA	NA	NA	Failed_QC	NA	24	yes	yes	yes	yes	yes	yes
UK10K_ALS5227344	NA	NA	male	NA	NA	0.679	3454246	5.909	20438	2.092	0.6	24.77	11.69	1	UK10K_ALS5227361	yes	NA	Failed_QC	NA	NA	28	yes	no	yes	yes	yes	no
UK10K_ALS5227355	NA	NA	male	NA	NA	0.258	3374081	7.045	5582	2.094	0.1	21.81	12.8	1	UK10K_ALS5086709	NA	NA	NA	Failed_QC	NA	32	yes	yes	yes	yes	yes	yes
UK10K_ALS5227363	NA	NA	male	NA	NA	0.35	3396557	4.955	3389	2.091	0.4	22.4	13.08	1	UK10K_ALS5086979	NA	NA	NA	Failed_QC	NA	33	yes	yes	yes	yes	yes	yes
UK10K_ALS5227374	NA	NA	male	NA	NA	0.663	3453124	6	27693	2.094	0.3	24.03	12.22	1	UK10K_25766	yes	NA	Failed_QC	NA	NA	25	yes	no	yes	yes	yes	no
UK10K_ALS5227396	NA	NA	male	NA	NA	0.762	3427612	6	33691	2.089	0.5	21.71	13.36	1	UK10K_ALS5227361	yes	NA	Failed_QC	NA	NA	14	yes	no	yes	yes	yes	no
UK10K_ALS5227398	NA	NA	male	NA	NA	0.248	3411523	7	5576	2.092	0.2	23.04	12.94	1	UK10K_ALS5087273	NA	NA	NA	NA	NA	24	yes	yes	no	yes	yes	no
UK10K_ALS5227417	NA	NA	male	NA	NA	0.29	3400581	6.864	5077	2.091	0.2	22.4	13.27	1	UK10K_ALS5087188	NA	NA	NA	NA	NA	24	yes	yes	yes	yes	yes	yes
UK10K_ALS5227440	NA	NA	male	NA	NA	0.288	3415136	6.955	5546	2.094	0.2	23.55	12.74	1	UK10K_ALS5086556	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
UK10K_TW1538006	UK10K1173	Monozygotic	female	NA	NA	0.502	3385710	5	746	2.091	0.25	22.88	12.81	1	UK10K_469	NA	NA	NA	NA	NA	39	yes	yes	no	yes	yes	no
UK10K_TW5093416	UK10K1722	Dizygotic	female	NA	UK10K_TW5120489	NA	3401184	13.227	2529	2.09	0.71	23.14	13.09	1	UK10K_TW5120489,UK10K_298569	NA	NA	NA	NA	NA	NA	yes	yes	no	yes	yes	no
UK10K_TW5120489	UK10K1722	Dizygotic	female	NA	UK10K_TW5093416	0.134	3404523	20.182	2908	2.088	0.51	24.23	12.1	1	UK10K_298569,UK10K_TW5093416	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL_RP333052	UK10K1887	Monozygotic	female	NA	NA	0.303	3411784	7.636	5743	2.087	0.09	22.92	12.92	0	NA	NA	NA	NA	NA	NA	27	yes	yes	yes	yes	yes	yes
QTL_RP333064	UK10K994	Monozygotic	female	NA	NA	0.462	3395676	5	4486	2.092	0.23	23.37	12.49	0	NA	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL_RP333139	UK10K489	Monozygotic	female	NA	NA	0.474	3381769	5.045	4145	2.09	0.17	22.25	13.33	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333141	UK10K1432	Monozygotic	female	NA	NA	0.357	3400846	6	5404	2.089	0.2	24.61	12.56	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333165	UK10K1584	Monozygotic	female	NA	NA	0.321	3385578	7.182	6338	2.087	0.11	24.2	12.53	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333177	UK10K1555	Monozygotic	female	NA	NA	0.351	3401632	6.864	6284	2.092	0.23	24.22	12.78	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333181	UK10K1513	Monozygotic	female	NA	NA	0.469	3408595	5.045	4558	2.088	0.18	23.49	12.21	0	NA	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
QTL_RP333237	UK10K1478	Monozygotic	female	NA	NA	0.572	3396434	4.136	3531	2.089	0.29	22.49	12.4	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL_RP333249	UK10K1532	Monozygotic	female	NA	NA	0.317	3382057	7	6400	2.087	0.1	23.77	12.34	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333261	UK10K1471	Monozygotic	female	NA	NA	0.37	3392897	6	6612	2.086	0.15	22.72	13.27	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL_RP333269	UK10K1436	Monozygotic	female	NA	NA	0.342	3382154	7	5858	2.085	0.19	23.89	12.41	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333275	UK10K1529	Monozygotic	female	NA	NA	0.235	3410747	9.909	10444	2.091	0.13	23.98	12.51	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333278	UK10K1435	Monozygotic	female	NA	NA	0.356	3392412	6.455	5408	2.092	0.14	24.34	12.74	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL_RP333286	UK10K1590	Monozygotic	female	NA	NA	0.308	3400520	7	5070	2.087	0.21	23.15	12.4	0	NA	NA	NA	NA	NA	NA	27	yes	yes	yes	yes	yes	yes
QTL_RP333292	UK10K1444	Monozygotic	female	NA	NA	0.332	3393120	7.045	6224	2.09	0.13	24.55	12.61	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333294	UK10K1348	Monozygotic	female	NA	NA	0.295	3400756	7	5860	2.087	0.07	22.13	12.32	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333296	UK10K1554	Monozygotic	female	NA	NA	0.379	3397933	6	5645	2.089	0.16	23.23	12.14	0	NA	NA	NA	NA	NA	NA	28	yes	yes	yes	yes	yes	yes
QTL_RP333298	UK10K1535	Monozygotic	female	NA	NA	0.359	3400571	6.182	5935	2.09	0.16	24.3	12.75	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333299	UK10K1577	Monozygotic	female	NA	NA	0.416	3390917	6.045	5240	2.089	0.2	22.69	12.96	0	NA	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
QTL_RP333322	UK10K1400	Monozygotic	female	NA	NA	0.276	3405212	8	6993	2.088	0.16	23.99	12.63	0	NA	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
QTL_RP333329	UK10K1543	Monozygotic	female	NA	NA	0.451	3402734	5.818	4954	2.087	0.21	24.66	11.96	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333349	UK10K1508	Monozygotic	female	NA	NA	0.643	3373963	4.045	4338	2.089	0.3	23.03	12.15	0	NA	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
QTL_RP333357	UK10K1512	Monozygotic	female	NA	NA	0.267	3403112	8.591	7315	2.087	0.13	23.06	12.57	0	NA	NA	NA	NA	NA	NA	28	yes	yes	yes	yes	yes	yes
QTL_RP333361	UK10K1507	Monozygotic	female	NA	NA	0.312	3390953	8	6980	2.088	0.18	24.44	11.77	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333385	UK10K1434	Monozygotic	female	NA	NA	0.377	3385179	6.773	6611	2.087	0.21	22.49	12.74	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL_RP333391	UK10K1510	Monozygotic	female	NA	NA	0.457	3399123	6	4933	2.09	0.22	24.74	11.96	0	NA	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
QTL_RP333401	UK10K1518	Monozygotic	female	NA	NA	0.596	3432068	6.227	15449	2.089	0.1	22.47	13.28	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
QTL_RP333407	UK10K1123	Monozygotic	female	NA	NA	0.421	3383634	5.818	4321	2.086	0.26	23.65	12.02	0	NA	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL_RP333420	UK10K1534	Dizygotic	female	NA	NA	0.4	3398660	5.773	5247	2.089	0.2	23.18	12.32	0	NA	NA	NA	NA	NA	NA	27	yes	yes	yes	yes	yes	yes
QTL_RP333422	UK10K970	Dizygotic	female	NA	UK10K_TW5093523	0.409	3400516	5.864	2620	2.091	0.28	24.34	11.76	0	UK10K_TW5093523	NA	NA	NA	NA	NA	NA	yes	yes	yes	no	yes	no
QTL_RP333426	UK10K943	Dizygotic	female	NA	NA	0.475	3386548	5.864	4886	2.09	0.21	22.57	13.25	0	NA	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL_RP333439	UK10K1033	Dizygotic	female	NA	NA	0.44	3391976	5.091	4554	2.092	0.19	21.93	13.93	0	NA	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL_RP333518	UK10K1520	Dizygotic	female	NA	NA	0.438	3387246	7	6076	2.088	0.27	23.43	12.1	0	NA	NA	NA	NA	NA	NA	30	yes	yes	yes	yes	yes	yes
